ID,Name,Concepticon_ID,Concepticon_Gloss,dataset_ID,Ontological_Category,Semantic_Field
302_die,die,1494,DIE,zgraggenmadang,Action/Process,The body
196_he,he,1211,HE,hubercolumbian,Other,Kinship
736_wind,wind,960,WIND,naganorgyalrongic,Person/Thing,The physical world
299_tendon,tendon,1137,TENDON,robinsonap,Person/Thing,The body
3_weincl,we (incl),1131,WE (INCLUSIVE),halenepal,Other,Kinship
223_blunt,blunt,379,BLUNT,tryonsolomon,Property,Sense perception
866_new,new,1231,NEW,suntb,Property,Time
5-791,"grease, fat",323,FAT (ORGANIC SUBSTANCE),ids,Person/Thing,The body
to_sleep,sleep,1585,SLEEP,lexirumah,Action/Process,The body
22_ashes,ashes,646,ASH,marrisonnaga,Person/Thing,The physical world
325_thehip,the hip,1745,HIP,wold,Person/Thing,The body
308_broom,broom,245,BROOM,beidasinitic,Person/Thing,Basic actions and technology
172_young,,1207,YOUNG,diacl,Property,Time
57,break wind,1159,FART,bantubvd,Action/Process,The body
399_walk,walk,1443,WALK,satterthwaitetb,Action/Process,Motion
115_pig,pig,1337,PIG,suntb,Person/Thing,Animals
door,door,1567,DOOR,lexirumah,Person/Thing,The house
223_thespider,the spider,843,SPIDER,wold,Person/Thing,Animals
861_toopen,to open,1156,OPEN,wold,Action/Process,Spatial relations
14-280,"cease, stop",1928,CEASE,ids,Action/Process,Time
16_belly,belly,1251,BELLY,tryonsolomon,Person/Thing,The body
93_four,four,1500,FOUR,abrahammonpa,Number,Quantity
40_sugarcane,,146,SUGAR CANE,diacl,Person/Thing,Agriculture and vegetation
270_five,five,493,FIVE,marrisonnaga,Number,Quantity
289_walk,walk,1443,WALK,tryonsolomon,Action/Process,Motion
851_new,new,1231,NEW,yanglalo,Property,Time
931_shoot,shoot,1172,SHOOT,northeuralex,Action/Process,Warfare and hunting
430_shamenoun,shame (noun),1776,SHAME,logos,Person/Thing,Emotions and values
206_six,six,1703,SIX,sohartmannchin,Number,Quantity
471_runvi,run (vi),1519,RUN,naganorgyalrongic,Action/Process,Motion
18_river,river,666,RIVER,suntb,Person/Thing,The physical world
251_shoot,shoot,1172,SHOOT,bowernpny,Action/Process,Warfare and hunting
41_eye,eye,1248,EYE,kraftchadic,Person/Thing,The body
336_doll,doll,1659,DOLL,northeuralex,Person/Thing,Modern world
227_far,far,1406,FAR,tryonsolomon,Property,Spatial relations
696_long,long,1203,LONG,beidasinitic,Property,Spatial relations
68_bowels,bowels,1991,INTESTINES,naganorgyalrongic,Person/Thing,The body
71_come,come,1446,COME,satterthwaitetb,Action/Process,Motion
537_vomit,vomit,1278,VOMIT,yanglalo,Action/Process,The body
428_arrow,arrow,977,ARROW,suntb,Person/Thing,Warfare and hunting
9-380,broom,245,BROOM,ids,Person/Thing,Basic actions and technology
5-710,fruit,1507,FRUIT,ids,Person/Thing,Food and drink
877_far,far,1406,FAR,wold,Property,Spatial relations
905_if,if,1459,IF,beidasinitic,Other,Cognition
tongue,tongue,1205,TONGUE,transnewguineaorg,Person/Thing,The body
5-750,fig,322,FIG,ids,Person/Thing,Food and drink
173_feather,feather,1201,FEATHER,suntb,Person/Thing,The body
574_price,price,657,PRICE,marrisonnaga,Person/Thing,Possession
384_tie,tie,760,KNOT,satterthwaitetb,Person/Thing,Basic actions and technology
125_fruit,fruit,1507,FRUIT,robinsonap,Person/Thing,Food and drink
314_bed,bed,1663,BED,northeuralex,Person/Thing,The house
three,three,492,THREE,lexirumah,Number,Quantity
886_feather,feather,1201,FEATHER,logos,Person/Thing,The body
105_buffalo,buffalo,934,BUFFALO,marrisonnaga,Person/Thing,Animals
447_tocarryonback,to carry on back,465,CARRY ON BACK,castrosui,Action/Process,Motion
198_thefish,the fish,227,FISH,wold,Person/Thing,Animals
151_ringfinger,ring (finger),1374,RING,naganorgyalrongic,Person/Thing,Clothing and grooming
385_white,white,1335,WHITE,robinsonap,Property,Sense perception
295_swallowv,swallow (V),897,SWALLOW,mitterhoferbena,Action/Process,Food and drink
521_sour,sour,1906,SOUR,northeuralex,Property,Sense perception
104_dog,dog,2009,DOG,zgraggenmadang,Person/Thing,Animals
795_tohold,to hold,1448,HOLD,wold,Action/Process,Possession
590_fast,fast,1631,FAST,castrosui,Property,Time
192_always,,1676,ALWAYS,diacl,Other,Time
133_sand,,671,SAND,diacl,Person/Thing,The physical world
179_lungs,lungs,688,LUNG,robinsonap,Person/Thing,The body
155_axe,axe,677,AXE,kraftchadic,Person/Thing,Basic actions and technology
135_sky,sky,1732,SKY,mitterhoferbena,Person/Thing,The physical world
mountain,mountain,639,MOUNTAIN,transnewguineaorg,Person/Thing,The physical world
402_knotinstring,knot (in string),760,KNOT,marrisonnaga,Person/Thing,Basic actions and technology
316_grindwheat,,1033,GRIND,allenbai,Action/Process,Food and drink
1004_count,count,1420,COUNT,northeuralex,Action/Process,Quantity
74_blood,blood,946,BLOOD,kraftchadic,Person/Thing,The body
301_bunchlanywele,bunch (la nywele),1966,BUNCH,tls,Person/Thing,Food and drink
51_nape,nape,1347,NAPE (OF NECK),zgraggenmadang,Person/Thing,The body
202_theshell,the shell,598,SHELL,wold,Person/Thing,Animals
1135_roostercock,rooster (cock),1511,ROOSTER,tls,Person/Thing,Animals
235_empty,empty,1624,EMPTY,zgraggenmadang,Property,Quantity
52_i,I,1209,I,tls,Other,Kinship
878_lung,lung,688,LUNG,tls,Person/Thing,The body
7-470,shelf,745,SHELF,ids,Person/Thing,The house
912_vomit,vomit,1278,VOMIT,logos,Action/Process,The body
22,be afraid,1419,FEAR (BE AFRAID),bantubvd,Action/Process,Emotions and values
618_thepipe,the pipe,1124,PIPE,wold,Person/Thing,Agriculture and vegetation
214_basket,basket,1539,BASKET,zgraggenmadang,Person/Thing,Basic actions and technology
232_empty,empty,1624,EMPTY,marrisonnaga,Property,Quantity
3_moon,moon,1313,MOON,suntb,Person/Thing,The physical world
2_two,two,1498,TWO,kraftchadic,Number,Quantity
411_follow,follow,1085,FOLLOW,kraftchadic,Action/Process,Motion
200,tree,906,TREE,chenhmongmien,Person/Thing,Agriculture and vegetation
4-150,blood,946,BLOOD,ids,Person/Thing,The body
293_snot,snot,208,NASAL MUCUS (SNOT),yanglalo,Person/Thing,The body
939_hundred,hundred,1634,HUNDRED,suntb,Number,Quantity
94_diebedead,die/be dead,2101,BE DEAD OR DIE,bowernpny,Action/Process,Time
107_pepper,,1385,PEPPER,allenbai,Person/Thing,Food and drink
1096_red,red,156,RED,tls,Property,Sense perception
one-hundred,one hundred,1634,HUNDRED,transnewguineaorg,Number,Quantity
1292_spreadact,spread (act),38,SPREAD OUT,tls,Action/Process,Basic actions and technology
256_tosee,to see,1409,SEE,abrahammonpa,Action/Process,Sense perception
599_parents,parents,505,PARENTS,logos,Person/Thing,Kinship
358_fear,fear,1419,FEAR (BE AFRAID),hubercolumbian,Action/Process,Emotions and values
998_palmofhand,palm (of hand),1183,PALM OF HAND,tls,Person/Thing,The body
