ID,Name,Concepticon_ID,Concepticon_Gloss,dataset_ID,Ontological_Category,Semantic_Field
314_call,call,715,SHOUT,tls,Action/Process,Speech and language
394_thick,,1244,THICK,allenbai,Property,Spatial relations
125_cat,cat,1208,CAT,marrisonnaga,Person/Thing,Animals
488_thick,thick,1244,THICK,northeuralex,Property,Spatial relations
127,elephant,1290,ELEPHANT,bantubvd,Person/Thing,Animals
658_tobreak,to break,680,BREAK (DESTROY OR GET DESTROYED),wold,Action/Process,Basic actions and technology
870,live (reside),363,"DWELL (LIVE, RESIDE)",chenhmongmien,Action/Process,The house
340_daughter,daughter,1357,DAUGHTER,suntb,Person/Thing,Kinship
817_far,far,1406,FAR,suntb,Property,Spatial relations
394,thigh,800,THIGH,bantubvd,Person/Thing,The body
31_bitter,bitter,887,BITTER,satterthwaitetb,Property,Sense perception
33_hornofanimal,horn (of animal),1393,HORN (ANATOMY),mitterhoferbena,Person/Thing,The body
308_person,person,683,PERSON,yanglalo,Person/Thing,Kinship
76_fish,fish,227,FISH,mitterhoferbena,Person/Thing,Animals
438_deny,deny,755,DENY,tls,Action/Process,Speech and language
341_towakeup,to wake up,1602,WAKE UP,castrosui,Action/Process,The body
16-251,smile,1451,SMILE,ids,Action/Process,Emotions and values
276_wakeupv,wake up (v),1602,WAKE UP,naganorgyalrongic,Action/Process,The body
price,price,657,PRICE,lexirumah,Person/Thing,Possession
459_sgime,"¹ sG; I, me",1209,I,castrosui,Other,Kinship
632_under,under,1485,BELOW OR UNDER,northeuralex,Other,Spatial relations
660_groan,groan,716,GROAN,tls,Action/Process,Emotions and values
14-460,evening,1629,EVENING,ids,Person/Thing,Time
670_understandv,understand (v),1536,UNDERSTAND,naganorgyalrongic,Action/Process,Cognition
1483_underneath,underneath,1485,BELOW OR UNDER,tls,Other,Spatial relations
603_daughter,daughter,1357,DAUGHTER,logos,Person/Thing,Kinship
133_flyn,fly (n),1504,FLY (INSECT),satterthwaitetb,Person/Thing,Animals
15-690,yellow,1424,YELLOW,ids,Property,Sense perception
675_get,get,694,GET,suntb,Action/Process,Possession
316_child,child,2099,CHILD,yanglalo,Person/Thing,Kinship
37_jawchin,"jaw, chin",1510,CHIN,naganorgyalrongic,Person/Thing,The body
486_tosew,to sew,1457,SEW,wold,Action/Process,Clothing and grooming
248_tongue,tongue,1205,TONGUE,sohartmannchin,Person/Thing,The body
spider,spider,843,SPIDER,transnewguineaorg,Person/Thing,Animals
to-return,to return,581,COME BACK,transnewguineaorg,Action/Process,Motion
237_thesnail,the snail,1543,SNAIL,wold,Person/Thing,Animals
147_small,,1246,SMALL,diacl,Property,Spatial relations
425_price,price,657,PRICE,northeuralex,Person/Thing,Possession
79,charcoal,1188,CHARCOAL,bantubvd,Person/Thing,The physical world
279_dayaftertomorrow,day after tomorrow,1179,DAY AFTER TOMORROW,zgraggenmadang,Other,Time
fig,fig,322,FIG,transnewguineaorg,Person/Thing,Food and drink
140_kidney,kidney,489,KIDNEY,halenepal,Person/Thing,The body
268_bed,bed,1663,BED,naganorgyalrongic,Person/Thing,The house
50_child,child,2099,CHILD,mitterhoferbena,Person/Thing,Kinship
524_fatgreaseoil,fat/grease/oil,323,FAT (ORGANIC SUBSTANCE),tls,Person/Thing,The body
48_bittervi,bitter (vi),887,BITTER,bodtkhobwa,Property,Sense perception
348_eat,eat,1336,EAT,zgraggenmadang,Action/Process,Food and drink
353_tosleep,to sleep,1585,SLEEP,robinsonap,Action/Process,The body
285_livestay,"live, stay",363,"DWELL (LIVE, RESIDE)",bodtkhobwa,Action/Process,The house
903_long,long,1203,LONG,naganorgyalrongic,Property,Spatial relations
666_topull,to pull,1455,PULL,wold,Action/Process,Basic actions and technology
10,rain,658,RAIN (PRECIPITATION),chenhmongmien,Person/Thing,The physical world
264_kill,kill,1417,KILL,tryonsolomon,Action/Process,The body
977_suck,suck,1421,SUCK,logos,Action/Process,Food and drink
212_suckvt,suck (vt),1421,SUCK,naganorgyalrongic,Action/Process,Food and drink
347_board,board,1227,BOARD,naganorgyalrongic,Person/Thing,The house
241_tongue,tongue,1205,TONGUE,yanglalo,Person/Thing,The body
88_thefather,the father,1217,FATHER,wold,Person/Thing,Kinship
7_wind,wind,960,WIND,yanglalo,Person/Thing,The physical world
snail,snail,1543,SNAIL,transnewguineaorg,Person/Thing,Animals
374_thick,thick,1244,THICK,satterthwaitetb,Property,Spatial relations
98_knot,knot,760,KNOT,mitterhoferbena,Person/Thing,Basic actions and technology
390_remember,remember,707,REMEMBER,kraftchadic,Action/Process,Cognition
307_three,three,492,THREE,robinsonap,Number,Quantity
3-410,horse (equine),615,HORSE,ids,Person/Thing,Animals
360_hold,hold,1448,HOLD,hubercolumbian,Action/Process,Possession
217_green,green,1425,GREEN,bodtkhobwa,Property,Sense perception
