Colex_Key,dataset_ID,Form,Colex_IDs,Num_concepts,Concept_names,Semantic_field,Ontological_category
tami1289_pukai,ids,pukai,"{'1689', '778'}",2,"['SMOKE (INHALE)', 'SMOKE (EXHAUST)']","['Agriculture and vegetation', 'The physical world']","['Action/Process', 'Person/Thing']"
tami1289_pulveḷi,ids,pulveḷi,"{'649', '941'}",2,"['PASTURE', 'MEAD']","['Animals', 'Food and drink']","['Person/Thing', 'Person/Thing']"
tami1289_pōṭutal,ids,pōṭutal,"{'2866', '158'}",2,"['DROP (SOMETHING)', 'PUT ON']","['Basic actions and technology', 'Clothing and grooming']","['Action/Process', 'Action/Process']"
tami1289_uyaramāṉa,ids,uyaramāṉa,"{'1265', '711'}",2,"['HIGH', 'TALL']","['Spatial relations', 'Spatial relations']","['Property', 'Property']"
tami1289_uṇavu,ids,uṇavu,"{'256', '1526'}",2,"['FOOD', 'MEAL']","['Food and drink', 'Food and drink']","['Person/Thing', 'Person/Thing']"
tami1289_uṟutimoḻi,ids,uṟutimoḻi,"{'1675', '1712'}",2,"['PROMISE', 'OATH']","['Law', 'Speech and language']","['Action/Process', 'Person/Thing']"
tami1289_vari,ids,vari,"{'873', '1048'}",2,"['TAX', 'LINE']","['Possession', 'Spatial relations']","['Person/Thing', 'Person/Thing']"
tami1289_vēṇṭutal,ids,vēṇṭutal,"{'1828', '1784'}",2,"['ASK (REQUEST)', 'WANT']","['Emotions and values', 'Speech and language']","['Action/Process', 'Action/Process']"
tami1289_āṇ,ids,āṇ,"{'2263', '2261'}",2,"['MALE (OF ANIMAL)', 'MALE (OF PERSON)']","['Animals', 'Kinship']","['Property', 'Property']"
tami1289_āṟu,ids,āṟu,"{'666', '1703'}",2,"['RIVER', 'SIX']","['Quantity', 'The physical world']","['Person/Thing', 'Number']"
tami1289_அடி,northeuralex,ʌɖi,"{'3308', '3309'}",2,"['STRIKE (SOMEONE)', 'STRIKE (SOMETHING)']","['Basic actions and technology', 'Basic actions and technology']","['Action/Process', 'Action/Process']"
tami1289_அப்பொழுது,northeuralex,ʌpːoɻuðu,"{'2921', '2922'}",2,"['THEN', 'AT THAT TIME']","['Time', 'Time']","['Other', 'Other']"
tami1289_அழுகச் செய்,northeuralex,ʌɻuhʌt͡ɕ t͡ɕej,"{'2907', '569'}",2,"['ROT', 'SPOIL (BECOME SPOILED)']","['Basic actions and technology', 'Food and drink']","['Action/Process', 'Action/Process']"
tami1289_ஆறு,northeuralex,ɑːru,"{'666', '1703'}",2,"['RIVER', 'SIX']","['Quantity', 'The physical world']","['Person/Thing', 'Number']"
tami1289_இடி,northeuralex,iɖi,"{'1150', '2378'}",2,"['THUNDER', 'THUNDER (VERB)']","['The physical world', 'The physical world']","['Person/Thing', 'Action/Process']"
tami1289_ஈரமான,northeuralex,iːɾʌmɑːnʌ,"{'2998', '1726'}",2,"['DAMP', 'WET']","['Sense perception', 'Sense perception']","['Property', 'Property']"
tami1289_உடை,northeuralex,uɖʌi,"{'2558', '680'}",2,"['BREAK (CLEAVE)', 'BREAK (DESTROY OR GET DESTROYED)']","['Basic actions and technology', 'Basic actions and technology']","['Action/Process', 'Action/Process']"
tami1289_உட்கார்,northeuralex,uʈkɑːɾ,"{'1416', '1649'}",2,"['SIT', 'SIT DOWN']","['Motion', 'Spatial relations']","['Action/Process', 'Action/Process']"
tami1289_உயர எழு,northeuralex,ujʌɾʌ eɻu,"{'705', '568'}",2,"['GO UP (ASCEND)', 'RISE (MOVE UPWARDS)']","['Motion', 'The physical world']","['Action/Process', 'Action/Process']"
tami1289_உருகு,northeuralex,uɾuhu,"{'2887', '2334'}",2,"['THAW (DEW)', 'MELT']","['Basic actions and technology', 'The physical world']","['Action/Process', 'Action/Process']"
tami1289_உறைபனி,northeuralex,urʌiβʌni,"{'784', '2034'}",2,"['SNOW', 'FROST']","['Sense perception', 'The physical world']","['Person/Thing', 'Person/Thing']"
tami1289_எண்ணிக்கை,northeuralex,eɳːikːʌi,"{'2945', '1945'}",2,"['COUNT (QUANTITY)', 'IDOL']","['Modern world', 'Religion and belief']","['Person/Thing', 'Person/Thing']"
tami1289_எரியூட்டு,northeuralex,eɾijuːʈːu,"{'737', '141'}",2,"['LIGHT (IGNITE)', 'BURN (SOMETHING)']","['The physical world', 'The physical world']","['Action/Process', 'Action/Process']"
tami1289_எழுப்பு,northeuralex,eɻupːu,"{'3174', '1602'}",2,"['WAKE UP (SOMEONE)', 'WAKE UP']","['The body', 'The body']","['Action/Process', 'Action/Process']"
tami1289_ஏமாற்று,northeuralex,eːmɑːtːu,"{'3230', '3055'}",2,"['DECEIVE', 'SWINDLE']","['Cognition', 'Law']","['Action/Process', 'Action/Process']"
