Colex_Key,dataset_ID,Form,Colex_IDs,Num_concepts,Concept_names,Semantic_field,Ontological_category
stan1295_naːɡəl,northeuralex,naːɡəl,"{'1896', '502'}",2,"['FINGERNAIL OR TOENAIL', 'NAIL (TOOL)']","['Basic actions and technology', 'The body']","['Person/Thing', 'Person/Thing']"
stan1295_recht,ids,recht,"{'1019', '1725'}",2,"['RIGHT', 'CORRECT (RIGHT)']","['Emotions and values', 'Spatial relations']","['Property', 'Property']"
stan1295_reden,ids,reden,"{'1115', '1623'}",2,"['SPEECH', 'SPEAK']","['Speech and language', 'Speech and language']","['Action/Process', 'Person/Thing']"
stan1295_reiben,ids,reiben,"{'1449', '1767'}",2,"['RUB', 'SCRAPE']","['Basic actions and technology', 'Food and drink']","['Action/Process', 'Action/Process']"
stan1295_riechen,ids,riechen,"{'1587', '1586'}",2,"['SMELL (STINK)', 'SMELL (PERCEIVE)']","['Sense perception', 'Sense perception']","['Action/Process', 'Action/Process']"
stan1295_roh,ids,roh,"{'1959', '634'}",2,"['RAW', 'MEAT']","['Food and drink', 'Food and drink']","['Person/Thing', 'Property']"
stan1295_rufen,ids,rufen,"{'715', '1084'}",2,"['SHOUT', 'CALL']","['Speech and language', 'Speech and language']","['Action/Process', 'Action/Process']"
stan1295_scheinen,ids,scheinen,"{'1521', '708'}",2,"['SEEM', 'SHINE']","['Cognition', 'Sense perception']","['Action/Process', 'Action/Process']"
stan1295_schlagen,ids,schlagen,"{'354', '2133'}",2,"['POUND', 'STRIKE OR BEAT']","['Basic actions and technology', 'Basic actions and technology']","['Action/Process', 'Action/Process']"
stan1295_schreien,ids,schreien,"{'715', '298'}",2,"['SHOUT', 'SHRIEK']","['Speech and language', 'Speech and language']","['Action/Process', 'Action/Process']"
stan1295_schwer,ids,schwer,"{'1210', '584'}",2,"['HEAVY', 'DIFFICULT']","['Cognition', 'Sense perception']","['Property', 'Property']"
stan1295_schwimmen,ids,schwimmen,"{'1574', '1439'}",2,"['FLOAT', 'SWIM']","['Motion', 'Motion']","['Action/Process', 'Action/Process']"
stan1295_sie,ids,sie,"{'817', '262'}",2,"['THEY', 'HE OR SHE OR IT']","['Kinship', 'Kinship']","['Other', 'Other']"
