Colex_Key,dataset_ID,Form,Colex_IDs,Num_concepts,Concept_names,Semantic_field,Ontological_category
russ1263_maz,ids,maz,"{'1926', '323'}",2,"['OINTMENT', 'FAT (ORGANIC SUBSTANCE)']","['Clothing and grooming', 'The body']","['Person/Thing', 'Person/Thing']"
russ1263_mesjac,ids,mesjac,"{'1370', '1313'}",2,"['MONTH', 'MOON']","['The physical world', 'Time']","['Person/Thing', 'Person/Thing']"
russ1263_mex,ids,mex,"{'580', '1331'}",2,"['FUR', 'SHEEP']","['Animals', 'The body']","['Person/Thing', 'Person/Thing']"
russ1263_mir,ids,mir,"{'1338', '965'}",2,"['PEACE', 'WORLD']","['The physical world', 'Warfare and hunting']","['Person/Thing', 'Person/Thing']"
russ1263_mjáso,diacl,mjáso,"{'2615', '634'}",2,"['FLESH OR MEAT', 'MEAT']","['Food and drink', 'The body']","['Person/Thing', 'Person/Thing']"
russ1263_molnija,ids,molnija,"{'2007', '1654'}",2,"['BOLT (OF LIGHTNING)', 'LIGHTNING']","['The physical world', 'The physical world']","['Person/Thing', 'Person/Thing']"
russ1263_my,ids,my,"{'1131', '1212', '1130'}",3,"['WE (INCLUSIVE)', 'WE', 'WE (EXCLUSIVE)']","['Kinship', 'Kinship', 'Kinship']","['Other', 'Other', 'Other']"
russ1263_nebo,ids,nebo,"{'1732', '1565'}",2,"['SKY', 'HEAVEN']","['Religion and belief', 'The physical world']","['Person/Thing', 'Person/Thing']"
russ1263_noga,ids,noga,"{'1301', '1297'}",2,"['FOOT', 'LEG']","['The body', 'The body']","['Person/Thing', 'Person/Thing']"
russ1263_nož,ids,nož,"{'1352', '3210'}",2,"['KNIFE', 'KNIFE (FOR EATING)']","['Food and drink', 'Food and drink']","['Person/Thing', 'Person/Thing']"
russ1263_odin,ids,odin,"{'1493', '1580'}",2,"['ONE', 'ONLY']","['Quantity', 'Quantity']","['Number', 'Other']"
russ1263_ovca,ids,ovca,"{'1345', '1331'}",2,"['EWE', 'SHEEP']","['Animals', 'Animals']","['Person/Thing', 'Person/Thing']"
russ1263_peč,ids,peč,"{'1143', '183', '859'}",3,"['OVEN', 'BAKE', 'STOVE']","['Food and drink', 'Food and drink', 'The house']","['Action/Process', 'Person/Thing', 'Person/Thing']"
russ1263_plavat,ids,plavat,"{'787', '1439'}",2,"['SAIL', 'SWIM']","['Motion', 'Motion']","['Action/Process', 'Action/Process']"
russ1263_plesti,ids,plesti,"{'133', '3294'}",2,"['WEAVE', 'BRAID (VERB) OR WEAVE (BASKET)']","['Basic actions and technology', 'Clothing and grooming']","['Action/Process', 'Action/Process']"
